Target: http://thetoppers.htb/
Total requests: 19966
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00019:  C=200    234 L	    1036 W	  11947 Ch	  "dev"
00018:  C=200    234 L	    1036 W	  11947 Ch	  "blog"
00017:  C=200    234 L	    1036 W	  11947 Ch	  "m"
00001:  C=200    234 L	    1036 W	  11947 Ch	  "www"
00003:  C=200    234 L	    1036 W	  11947 Ch	  "ftp"
00007:  C=200    234 L	    1036 W	  11947 Ch	  "webdisk"
00015:  C=200    234 L	    1036 W	  11947 Ch	  "ns"
00022:  C=200    234 L	    1036 W	  11947 Ch	  "pop3"
00021:  C=200    234 L	    1036 W	  11947 Ch	  "ns3"
00020:  C=200    234 L	    1036 W	  11947 Ch	  "www2"
00014:  C=200    234 L	    1036 W	  11947 Ch	  "autoconfig"
00013:  C=200    234 L	    1036 W	  11947 Ch	  "autodiscover"
00016:  C=200    234 L	    1036 W	  11947 Ch	  "test"
00006:  C=200    234 L	    1036 W	  11947 Ch	  "smtp"
00012:  C=200    234 L	    1036 W	  11947 Ch	  "ns2"
00011:  C=200    234 L	    1036 W	  11947 Ch	  "ns1"
00009:  C=200    234 L	    1036 W	  11947 Ch	  "cpanel"
00010:  C=200    234 L	    1036 W	  11947 Ch	  "whm"
00008:  C=200    234 L	    1036 W	  11947 Ch	  "pop"
00005:  C=200    234 L	    1036 W	  11947 Ch	  "webmail"
00004:  C=200    234 L	    1036 W	  11947 Ch	  "localhost"
00002:  C=200    234 L	    1036 W	  11947 Ch	  "mail"
00023:  C=200    234 L	    1036 W	  11947 Ch	  "forum"
00025:  C=200    234 L	    1036 W	  11947 Ch	  "mail2"
00029:  C=200    234 L	    1036 W	  11947 Ch	  "old"
00037:  C=200    234 L	    1036 W	  11947 Ch	  "shop"
00040:  C=200    234 L	    1036 W	  11947 Ch	  "ns4"
00039:  C=200    234 L	    1036 W	  11947 Ch	  "dns2"
00036:  C=200    234 L	    1036 W	  11947 Ch	  "secure"
00038:  C=200    234 L	    1036 W	  11947 Ch	  "demo"
00035:  C=200    234 L	    1036 W	  11947 Ch	  "cp"
00034:  C=200    234 L	    1036 W	  11947 Ch	  "support"
00033:  C=200    234 L	    1036 W	  11947 Ch	  "beta"
00032:  C=200    234 L	    1036 W	  11947 Ch	  "mysql"
00031:  C=200    234 L	    1036 W	  11947 Ch	  "mobile"
00027:  C=200    234 L	    1036 W	  11947 Ch	  "mx"
00024:  C=200    234 L	    1036 W	  11947 Ch	  "admin"
00041:  C=200    234 L	    1036 W	  11947 Ch	  "dns1"
00030:  C=200    234 L	    1036 W	  11947 Ch	  "new"
00026:  C=200    234 L	    1036 W	  11947 Ch	  "vpn"
00028:  C=200    234 L	    1036 W	  11947 Ch	  "imap"
00043:  C=200    234 L	    1036 W	  11947 Ch	  "lists"
00047:  C=200    234 L	    1036 W	  11947 Ch	  "news"
00052:  C=200    234 L	    1036 W	  11947 Ch	  "media"
00049:  C=200    234 L	    1036 W	  11947 Ch	  "server"
00046:  C=200    234 L	    1036 W	  11947 Ch	  "img"
00048:  C=200    234 L	    1036 W	  11947 Ch	  "portal"
00054:  C=200    234 L	    1036 W	  11947 Ch	  "www.blog"
00055:  C=200    234 L	    1036 W	  11947 Ch	  "backup"
00053:  C=200    234 L	    1036 W	  11947 Ch	  "images"
00051:  C=200    234 L	    1036 W	  11947 Ch	  "api"
00050:  C=200    234 L	    1036 W	  11947 Ch	  "wiki"
00045:  C=200    234 L	    1036 W	  11947 Ch	  "www1"
00042:  C=200    234 L	    1036 W	  11947 Ch	  "static"
00044:  C=200    234 L	    1036 W	  11947 Ch	  "web"
00056:  C=200    234 L	    1036 W	  11947 Ch	  "dns"
00058:  C=200    234 L	    1036 W	  11947 Ch	  "intranet"
00062:  C=200    234 L	    1036 W	  11947 Ch	  "host"
00065:  C=200    234 L	    1036 W	  11947 Ch	  "mx1"
00064:  C=200    234 L	    1036 W	  11947 Ch	  "mail1"
00061:  C=200    234 L	    1036 W	  11947 Ch	  "stats"
00063:  C=200    234 L	    1036 W	  11947 Ch	  "video"
00060:  C=200    234 L	    1036 W	  11947 Ch	  "www.test"
00057:  C=200    234 L	    1036 W	  11947 Ch	  "sql"
00059:  C=200    234 L	    1036 W	  11947 Ch	  "www.forum"
00068:  C=200    234 L	    1036 W	  11947 Ch	  "www.m"
00066:  C=200    234 L	    1036 W	  11947 Ch	  "www3"
00074:  C=200    234 L	    1036 W	  11947 Ch	  "ads"
00075:  C=200    234 L	    1036 W	  11947 Ch	  "ipv4"
00072:  C=200    234 L	    1036 W	  11947 Ch	  "crm"
00078:  C=200    234 L	    1036 W	  11947 Ch	  "my"
00077:  C=200    234 L	    1036 W	  11947 Ch	  "email"
00076:  C=200    234 L	    1036 W	  11947 Ch	  "remote"
00071:  C=200    234 L	    1036 W	  11947 Ch	  "search"
00073:  C=200    234 L	    1036 W	  11947 Ch	  "mx2"
00070:  C=200    234 L	    1036 W	  11947 Ch	  "chat"
00067:  C=200    234 L	    1036 W	  11947 Ch	  "staging"
00069:  C=200    234 L	    1036 W	  11947 Ch	  "sip"
00079:  C=200    234 L	    1036 W	  11947 Ch	  "wap"
00084:  C=200    234 L	    1036 W	  11947 Ch	  "proxy"
00083:  C=200    234 L	    1036 W	  11947 Ch	  "download"
00081:  C=200    234 L	    1036 W	  11947 Ch	  "store"
00085:  C=200    234 L	    1036 W	  11947 Ch	  "www.dev"
00080:  C=200    234 L	    1036 W	  11947 Ch	  "svn"
00086:  C=200    234 L	    1036 W	  11947 Ch	  "mssql"
00088:  C=200    234 L	    1036 W	  11947 Ch	  "dns3"
00082:  C=200    234 L	    1036 W	  11947 Ch	  "cms"
00091:  C=200    234 L	    1036 W	  11947 Ch	  "forums"
00092:  C=200    234 L	    1036 W	  11947 Ch	  "ns5"
00087:  C=200    234 L	    1036 W	  11947 Ch	  "apps"
00090:  C=200    234 L	    1036 W	  11947 Ch	  "mail3"
00089:  C=200    234 L	    1036 W	  11947 Ch	  "exchange"
00104:  C=200    234 L	    1036 W	  11947 Ch	  "ftp2"
00093:  C=200    234 L	    1036 W	  11947 Ch	  "db"
00099:  C=200    234 L	    1036 W	  11947 Ch	  "monitor"
00095:  C=200    234 L	    1036 W	  11947 Ch	  "live"
00103:  C=200    234 L	    1036 W	  11947 Ch	  "newsletter"
00102:  C=200    234 L	    1036 W	  11947 Ch	  "sms"
00101:  C=200    234 L	    1036 W	  11947 Ch	  "panel"
00098:  C=200    234 L	    1036 W	  11947 Ch	  "owa"
00100:  C=200    234 L	    1036 W	  11947 Ch	  "helpdesk"
00097:  C=200    234 L	    1036 W	  11947 Ch	  "info"
00094:  C=200    234 L	    1036 W	  11947 Ch	  "office"
00096:  C=200    234 L	    1036 W	  11947 Ch	  "files"
00105:  C=200    234 L	    1036 W	  11947 Ch	  "web1"
00107:  C=200    234 L	    1036 W	  11947 Ch	  "upload"
00111:  C=200    234 L	    1036 W	  11947 Ch	  "app"
00114:  C=200    234 L	    1036 W	  11947 Ch	  "it"
00113:  C=200    234 L	    1036 W	  11947 Ch	  "blogs"
00110:  C=200    234 L	    1036 W	  11947 Ch	  "login"
00115:  C=200    234 L	    1036 W	  11947 Ch	  "cdn"
00112:  C=200    234 L	    1036 W	  11947 Ch	  "en"
00106:  C=200    234 L	    1036 W	  11947 Ch	  "web2"
00109:  C=200    234 L	    1036 W	  11947 Ch	  "bbs"
00108:  C=200    234 L	    1036 W	  11947 Ch	  "home"
00128:  C=200    234 L	    1036 W	  11947 Ch	  "test2"
00121:  C=200    234 L	    1036 W	  11947 Ch	  "cn"
00117:  C=200    234 L	    1036 W	  11947 Ch	  "gw"
00127:  C=200    234 L	    1036 W	  11947 Ch	  "service"
00126:  C=200    234 L	    1036 W	  11947 Ch	  "online"
00125:  C=200    234 L	    1036 W	  11947 Ch	  "relay"
00124:  C=200    234 L	    1036 W	  11947 Ch	  "ns6"
00123:  C=200    234 L	    1036 W	  11947 Ch	  "vps"
00120:  C=200    234 L	    1036 W	  11947 Ch	  "ssl"
00122:  C=200    234 L	    1036 W	  11947 Ch	  "smtp2"
00119:  C=200    234 L	    1036 W	  11947 Ch	  "www.demo"
00116:  C=200    234 L	    1036 W	  11947 Ch	  "stage"
00118:  C=200    234 L	    1036 W	  11947 Ch	  "dns4"
00129:  C=200    234 L	    1036 W	  11947 Ch	  "radio"
00131:  C=200    234 L	    1036 W	  11947 Ch	  "library"
00135:  C=200    234 L	    1036 W	  11947 Ch	  "tv"
00140:  C=200    234 L	    1036 W	  11947 Ch	  "services"
00137:  C=200    234 L	    1036 W	  11947 Ch	  "extranet"
00130:  C=200    234 L	    1036 W	  11947 Ch	  "ntp"
00134:  C=200    234 L	    1036 W	  11947 Ch	  "members"
00141:  C=200    234 L	    1036 W	  11947 Ch	  "webdisk.blog"
00139:  C=200    234 L	    1036 W	  11947 Ch	  "ldap"
00138:  C=200    234 L	    1036 W	  11947 Ch	  "hosting"
00136:  C=200    234 L	    1036 W	  11947 Ch	  "www.shop"
00133:  C=200    234 L	    1036 W	  11947 Ch	  "www4"
00132:  C=200    234 L	    1036 W	  11947 Ch	  "help"
00147:  C=200    234 L	    1036 W	  11947 Ch	  "www.new"
00143:  C=200    234 L	    1036 W	  11947 Ch	  "i"
00146:  C=200    234 L	    1036 W	  11947 Ch	  "www.mail"
00145:  C=200    234 L	    1036 W	  11947 Ch	  "s"
00142:  C=200    234 L	    1036 W	  11947 Ch	  "s1"
00144:  C=200    234 L	    1036 W	  11947 Ch	  "survey"
00148:  C=200    234 L	    1036 W	  11947 Ch	  "c-n7k-v03-01.rz"
00154:  C=200    234 L	    1036 W	  11947 Ch	  "router"
00150:  C=200    234 L	    1036 W	  11947 Ch	  "docs"
00161:  C=200    234 L	    1036 W	  11947 Ch	  "stat"
00162:  C=200    234 L	    1036 W	  11947 Ch	  "moodle"
00159:  C=200    234 L	    1036 W	  11947 Ch	  "sftp"
00160:  C=200    234 L	    1036 W	  11947 Ch	  "server1"
00158:  C=200    234 L	    1036 W	  11947 Ch	  "av"
00157:  C=200    234 L	    1036 W	  11947 Ch	  "cs"
